Time_Index,NR_conventional_hydroelectric,NER_conventional_hydroelectric,ER_conventional_hydroelectric,WR_conventional_hydroelectric,SR_conventional_hydroelectric,ER_solar_rt,NER_solar_rt,NR_solar_rt,SR_solar_rt,WR_solar_rt,ER_offshore_wind,SR_offshore_wind,WR_offshore_wind,NER_offshore_wind,NR_offshore_wind,ER_solar_pv,NER_solar_pv,NR_solar_pv,SR_solar_pv,WR_solar_pv,ER_onshore_wind,NER_onshore_wind,NR_onshore_wind,SR_onshore_wind,WR_onshore_wind,ALL_EGcoal,ALL_EGgas,ALL_EGnuclear
30,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.235833333,0.226660714,0.229777778,0,0,0,0,0,0,0,0.1845,0.07347,0.086322612,0.189702833,0.162076555,0.85,0.85,0.709166667
31,0.21,0.21,0.21,0.21,0.21,3.33E-05,0.016045,0,0,0,0.276466667,0.225422619,0.23555873,0,0,0,0.01751,0,0,0,0.175755556,0.07241,0.084040741,0.188798167,0.17041,0.85,0.85,0.709166667
32,0.21,0.21,0.21,0.21,0.21,0.0948,0.20746,0.014394815,0.067899667,0.027589286,0.284766667,0.223882143,0.237273016,0,0,0.102222222,0.235525,0.012962963,0.065619,0.031302521,0.163155556,0.072725,0.088189474,0.1825195,0.17076958,0.85,0.85,0.709166667
33,0.21,0.21,0.21,0.21,0.21,0.239766667,0.375645,0.151933333,0.241708333,0.188807857,0.270916667,0.225053571,0.228111111,0,0,0.2472,0.418,0.172778752,0.240590385,0.192651092,0.141811111,0.08192,0.0853,0.164040833,0.167891933,0.85,0.85,0.709166667
34,0.21,0.21,0.21,0.21,0.21,0.3595,0.493875,0.290195556,0.401836667,0.350986786,0.2625,0.226422619,0.217261905,0,0,0.381722222,0.52369,0.319438012,0.401013449,0.350435714,0.090555556,0.06773,0.082050682,0.128860167,0.134990756,0.85,0.85,0.709166667
35,0.21,0.21,0.21,0.21,0.21,0.453766667,0.560365,0.387223704,0.510457667,0.465323929,0.228566667,0.220477381,0.211709524,0,0,0.4647,0.57593,0.427059064,0.519223615,0.464007311,0.056655556,0.061255,0.068987135,0.121268333,0.095497731,0.85,0.85,0.709166667
36,0.21,0.21,0.21,0.21,0.21,0.484683333,0.572745,0.455621481,0.573246,0.53133,0.220766667,0.202155952,0.184307937,0,0,0.5011,0.56728,0.479039376,0.582449462,0.538744874,0.046355556,0.06424,0.058837232,0.124664667,0.065269244,0.85,0.85,0.709166667
37,0.21,0.21,0.21,0.21,0.21,0.47015,0.555595,0.485345185,0.57487,0.553482857,0.182466667,0.185546429,0.157152381,0,0,0.495566667,0.568425,0.502598051,0.592477885,0.560497815,0.047544444,0.066155,0.055688304,0.128860833,0.053724286,0.85,0.85,0.709166667
38,0.21,0.21,0.21,0.21,0.21,0.432066667,0.5009,0.464613333,0.550518,0.540107143,0.16315,0.185965476,0.139377778,0,0,0.443344444,0.501215,0.493467057,0.567737333,0.542445882,0.042611111,0.068545,0.06325848,0.133072833,0.051251849,0.85,0.85,0.709166667
39,0.21,0.21,0.21,0.21,0.21,0.352883333,0.374595,0.413067407,0.479030667,0.479566429,0.15565,0.186877381,0.125393651,0,0,0.360911111,0.35343,0.440444639,0.498440538,0.483352437,0.0514,0.064355,0.062917934,0.134839,0.051652353,0.85,0.85,0.709166667
40,0.21,0.21,0.21,0.21,0.21,0.21885,0.22148,0.298808148,0.379637,0.369339643,0.1564,0.190930952,0.124433333,0,0,0.236855556,0.224805,0.321247953,0.389502103,0.368863277,0.053177778,0.07061,0.070534698,0.1365655,0.050802857,0.85,0.85,0.709166667
41,0.21,0.21,0.21,0.21,0.21,0.06945,0.030365,0.147402222,0.232333667,0.216488929,0.155983333,0.183479762,0.121798413,0,0,0.060033333,0.025915,0.145217739,0.237231436,0.217793361,0.064844444,0.081795,0.073547953,0.137707333,0.055517647,0.85,0.85,0.709166667
42,0.21,0.21,0.21,0.21,0.21,0,0,0.004936296,0.058630667,0.05202,0.150816667,0.190177381,0.134533333,0,0,0,0,0.004367641,0.060516538,0.05096916,0.099566667,0.081195,0.088347368,0.155838833,0.080145714,0.85,0.85,0.709166667
43,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.135033333,0.211960714,0.147414286,0,0,0,0,0,0,0,0.120333333,0.09183,0.098723392,0.188892667,0.10757916,0.85,0.85,0.709166667
44,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.117683333,0.221107143,0.167333333,0,0,0,0,0,0,0,0.1244,0.0977,0.097093567,0.207973667,0.139757815,0.85,0.85,0.709166667
45,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.098266667,0.237303571,0.182346032,0,0,0,0,0,0,0,0.1166,0.09697,0.098820078,0.218136333,0.148663445,0.85,0.85,0.709166667
46,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.087783333,0.227665476,0.204684127,0,0,0,0,0,0,0,0.136288889,0.0772,0.100224561,0.234082833,0.172694538,0.85,0.85,0.709166667
47,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.078683333,0.228202381,0.208077778,0,0,0,0,0,0,0,0.1525,0.07666,0.097946199,0.252392667,0.17844563,0.85,0.85,0.709166667
