Time_Index,NR_conventional_hydroelectric,NER_conventional_hydroelectric,ER_conventional_hydroelectric,WR_conventional_hydroelectric,SR_conventional_hydroelectric,ER_solar_rt,NER_solar_rt,NR_solar_rt,SR_solar_rt,WR_solar_rt,ER_offshore_wind,SR_offshore_wind,WR_offshore_wind,NER_offshore_wind,NR_offshore_wind,ER_solar_pv,NER_solar_pv,NR_solar_pv,SR_solar_pv,WR_solar_pv,ER_onshore_wind,NER_onshore_wind,NR_onshore_wind,SR_onshore_wind,WR_onshore_wind
41,0.19,0.19,0.19,0.19,0.19,0.159183333,0.098205,0.265151852,0.323501667,0.326806786,0.029233333,0.145105952,0.164692063,0,0,0.143666667,0.103125,0.267578363,0.321722808,0.323012857,0.033722222,0.047715,0.119118713,0.133204667,0.069024034
42,0.19,0.19,0.19,0.19,0.19,0.00565,0,0.081758519,0.126325,0.13334,0.028583333,0.167475,0.170401587,0,0,0.005522222,0,0.085112476,0.125366487,0.130725294,0.031255556,0.059075,0.128477778,0.144011667,0.08409479
43,0.19,0.19,0.19,0.19,0.19,0,0,8.89E-06,0.001117333,0.003097857,0.027533333,0.181540476,0.198085714,0,0,0,0,0.000139766,0.000708333,0.002870756,0.060266667,0.06397,0.143484795,0.176648833,0.108348824
44,0.19,0.19,0.19,0.19,0.19,0,0,0,0,0,0.032233333,0.18959881,0.217892063,0,0,0,0,0,0,0,0.090355556,0.07002,0.161538986,0.212372333,0.133508739
45,0.19,0.19,0.19,0.19,0.19,0,0,0,0,0,0.0347,0.18572619,0.229938095,0,0,0,0,0,0,0,0.109433333,0.07772,0.176813645,0.237274667,0.166558655
46,0.19,0.19,0.19,0.19,0.19,0,0,0,0,0,0.0398,0.18477619,0.251865079,0,0,0,0,0,0,0,0.116822222,0.081795,0.176562573,0.2470035,0.193261008
47,0.19,0.19,0.19,0.19,0.19,0,0,0,0,0,0.037266667,0.184055952,0.255455556,0,0,0,0,0,0,0,0.133611111,0.09042,0.179697076,0.249319167,0.211163782
48,0.19,0.19,0.19,0.19,0.19,0,0,0,0,0,0.03675,0.174760714,0.247755556,0,0,0,0,0,0,0,0.131022222,0.08116,0.18052924,0.236263667,0.207388319
49,0.22,0.22,0.22,0.22,0.22,0,0,0,0,0,0.20025,0.162015476,0.273606349,0,0,0,0,0,0,0,0.2793,0.09359,0.220017934,0.186262,0.208978235
50,0.22,0.22,0.22,0.22,0.22,0,0,0,0,0,0.184483333,0.148394048,0.244973016,0,0,0,0,0,0,0,0.317522222,0.09804,0.226301949,0.167917833,0.215358487
51,0.22,0.22,0.22,0.22,0.22,0,0,0,0,0,0.156083333,0.13777619,0.265707937,0,0,0,0,0,0,0,0.254522222,0.100725,0.224515984,0.152588667,0.21095521
52,0.22,0.22,0.22,0.22,0.22,0,0,0,0,0,0.146683333,0.125384524,0.267138095,0,0,0,0,0,0,0,0.2524,0.087305,0.218721832,0.135879167,0.200000588
53,0.22,0.22,0.22,0.22,0.22,0,0,0,0,0,0.133716667,0.112561905,0.260411111,0,0,0,0,0,0,0,0.221811111,0.083135,0.205285965,0.127420833,0.187512101
54,0.22,0.22,0.22,0.22,0.22,0,0,0,0,0,0.130966667,0.09842619,0.240777778,0,0,0,0,0,0,0,0.181344444,0.078175,0.208224756,0.120160833,0.189523613
55,0.22,0.22,0.22,0.22,0.22,0.022966667,0.07378,0.003066667,0.00066,0.000251429,0.123916667,0.090207143,0.211430159,0,0,0.028866667,0.081605,0.002481481,0.000405577,0.000626471,0.158111111,0.08804,0.200950487,0.110588833,0.191517395
56,0.22,0.22,0.22,0.22,0.22,0.160116667,0.236065,0.09849037,0.100898,0.080491071,0.167816667,0.084052381,0.191095238,0,0,0.178666667,0.239145,0.107932359,0.096009769,0.082435546,0.131966667,0.08358,0.170549708,0.1023455,0.179824034
57,0.22,0.22,0.22,0.22,0.22,0.334083333,0.395705,0.275806667,0.285936667,0.256971429,0.1537,0.077071429,0.172673016,0,0,0.351077778,0.38405,0.294646004,0.27933241,0.260759076,0.079455556,0.074745,0.14395614,0.069254833,0.146968739
