"elec_demand_ER_p20_2024","elec_demand_NER_p20_2024","elec_demand_NR_p20_2024","elec_demand_SR_p20_2024","elec_demand_WR_p20_2024"
24362.2273233079,1951.74692848338,53378.3025471542,57899.7584950345,63811.7801780898
24519.4710735623,1928.91741769043,52542.6169230692,57603.8623906549,62637.1716214643
24411.2725703479,1869.54548234756,51045.9330786969,56729.9390454884,62772.1434010053
23963.0314267029,1855.96866788456,49779.9971019441,55926.314803773,63119.2054771649
23854.6365974479,1916.67252695229,48549.6463384481,55214.0233237092,63569.3388348805
23618.0099922761,2197.94507030473,47692.2792196908,53005.8303508206,62745.5612607469
24708.0413268364,2642.67318959421,48810.8582289689,49135.5871820335,59352.0389599144
25767.5542038744,2631.55218142359,49704.388649019,48757.9067667226,61006.4530662612
25151.2781219453,2579.84000238355,52857.1249991721,48192.0367054317,57701.4886688522
24612.1178915058,2468.7037603077,51565.851600189,45693.5736238291,55742.3066835441
23792.2815202783,2265.41097912556,48808.334015941,44400.623034908,54257.8887788232
23571.1364034753,1999.85067153319,44865.2184532721,42816.8182282632,52813.1171213124
23520.9390057944,1761.22434752799,41068.9613410903,40623.9971835665,52059.0564343593
23504.8587731599,1592.98271136456,40685.2680571053,48525.8225906784,58316.5473532316
23281.3767408748,1560.65030159075,39610.424279445,47505.6925882361,57495.5404704461
23086.0720827334,1531.43238040981,39173.8851037224,47074.8167020599,57090.810968458
23066.0982823855,1522.32785724041,39140.8777266005,47170.3944512889,57009.0962747891
23227.1465206172,1563.00847203435,40411.7121403301,47704.5169342118,57416.4478693053
23374.5576500498,1670.49433665716,43324.4070093289,49147.9362414179,59171.7025691911
22655.183848404,1764.10610811018,41284.8967685526,48422.7118788221,59293.3622071393
23969.1176116465,1969.45778335597,45123.9478668239,54139.6298629583,61750.2241342801
24364.173077751,1925.05171923172,48155.3469860008,57046.7828270298,63584.1965454137
24396.6106000316,1927.15749555586,49769.0700473936,61077.6651792819,64488.7318739296
25380.5699207126,2084.2045612786,51406.1850837954,63014.5057284945,67236.8400124186
25500.8000708485,2100.18534086336,51178.244388535,62869.6268792045,67097.6439829117
25450.9312438145,2112.94026084556,49670.831351648,62581.2631570687,66560.5466872692
25190.614694881,2137.69852982505,48827.5788273922,61657.2265055122,66050.073323523
24933.1801716101,2145.240323309,48327.5708156437,61172.8169605811,66330.3983874437
24974.1052841165,2221.20892483978,47244.3210752103,60467.8594863502,66798.757252619
24989.6850145292,2217.544451792,46535.8095903579,58108.4987781204,66039.4363274099
25672.1680274499,2348.62444358226,46289.614132314,53784.3656710782,64122.2307732129
27365.5031816452,2536.79867724286,46208.7964039618,52555.8263886531,65419.585188313
26386.458908585,2365.56285565069,52531.8386522595,54033.9685508646,63578.1489967244
25837.5634089085,2317.64622716239,50691.4259171659,51770.9802332439,60798.5958874146
24942.3193907003,2199.20849186718,48306.8377024219,51058.2124806598,59324.4449728243
24204.8011646216,2018.45378809968,44943.4832640855,50230.3813099794,58127.1830716731
23776.7638224643,1661.93118524972,42312.5424038076,48986.4794568311,58890.1077365458
24233.8560655933,1535.9556573208,32678.4086253081,51278.0476819854,54931.7829365271
23345.422467607,1479.03750935561,31610.0306272905,49840.5328204704,53017.9997908506
23213.4829384192,1456.65683417522,31184.2527396445,49157.7375987468,52631.2991669362
23059.8815050571,1447.54242300574,31081.2149453884,49144.303912218,52644.2084646721
22574.5578006607,1480.48242442451,31605.6417615735,49505.1034368574,52160.6190484762
22493.4641901549,1581.45846932488,32704.3937451192,50992.1301441967,53148.3149759466
22309.9143738958,1606.94704325791,34751.2090829815,52132.4315097896,53596.1246935789
25873.2239934079,2031.74091406833,41043.4069639121,57136.0600548428,57678.2917585424
26331.9628546871,2022.47861386697,43074.9350450565,59265.2509342531,60108.2267758532
25928.3970130657,2118.65812332695,42169.8726594496,62911.5761793806,59571.3756688098
26656.0230617369,2173.54809297275,46953.4265651561,63721.8828029516,62383.8832271996
26839.1283224792,2168.84923145767,47458.3443516241,63833.0246410163,62180.4938087791
26874.7902081228,2178.53314696242,47282.3870830437,63494.3402463801,61412.8637710671
26788.5513330006,2195.57659390844,47558.4900603744,62193.8962608926,61201.707378139
26766.0883060315,2200.03367643974,47645.35996957,62346.0401534648,61533.110656183
27034.9817127262,2266.21477986036,47832.6218989603,62403.4378497375,61963.6968429584
27074.934964192,2241.88825907551,48795.7566094244,60538.6704925506,61959.8178036633
26947.2469565067,2270.87847222923,48433.7379992512,56579.6722065346,59831.9006893786
29806.2092812664,2580.10691432772,46790.6839790979,54092.8869577617,62255.6767869346
29004.0922074199,2315.41614742763,45382.6487604195,55071.6784504881,61135.9575054113
28702.0114776704,2275.57160140922,43550.5428116191,53187.9698353818,60195.9881855493
28244.5829817983,2189.0400607138,41855.9732617934,53230.5052231463,59539.6712763823
26256.735895785,1944.55470172689,36564.9884350552,53575.6511935143,55091.5784242529
24462.7443787162,1586.8695962425,33515.8293345227,52181.0621506115,55079.3392229527
