2026-04-15 18:12:48 | DEBUG | 1 | MacroEnergy | csv.jl:6 | Loading CSV data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\system/availability_PIER8760_5period.csv
2026-04-15 18:12:48 | DEBUG | 1 | MacroEnergy | csv.jl:9 | Loading columns [:EG_COAL_ALL_ALL] from CSV data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\system/availability_PIER8760_5period.csv
2026-04-15 18:12:48 | DEBUG | 1 | MacroEnergy | load_json_inputs.jl:128 | Loading data from Largehydro_5r_2024base.json
2026-04-15 18:12:48 | DEBUG | 1 | MacroEnergy | load_inputs.jl:2 | Loading JSON data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\assets\Largehydro_5r_2024base.json
2026-04-15 18:12:48 | DEBUG | 1 | MacroEnergy | load_json_inputs.jl:19 | Loading JSON data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\assets\Largehydro_5r_2024base.json
2026-04-15 18:12:48 | DEBUG | 1 | MacroEnergy | csv.jl:6 | Loading CSV data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\system/availability_PIER8760_5period.csv
2026-04-15 18:12:49 | DEBUG | 1 | MacroEnergy | csv.jl:9 | Loading columns [:EG_LH_ALL_ALL] from CSV data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\system/availability_PIER8760_5period.csv
2026-04-15 18:12:49 | DEBUG | 1 | MacroEnergy | load_json_inputs.jl:128 | Loading data from NaturalGas_CCGT_5r_2024base.json
2026-04-15 18:12:49 | DEBUG | 1 | MacroEnergy | load_inputs.jl:2 | Loading JSON data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\assets\NaturalGas_CCGT_5r_2024base.json
2026-04-15 18:12:49 | DEBUG | 1 | MacroEnergy | load_json_inputs.jl:19 | Loading JSON data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\assets\NaturalGas_CCGT_5r_2024base.json
2026-04-15 18:12:49 | DEBUG | 1 | MacroEnergy | csv.jl:6 | Loading CSV data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\system/availability_PIER8760_5period.csv
2026-04-15 18:12:49 | DEBUG | 1 | MacroEnergy | csv.jl:9 | Loading columns [:EG_CCGT_ALL_ALL] from CSV data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\system/availability_PIER8760_5period.csv
2026-04-15 18:12:49 | DEBUG | 1 | MacroEnergy | load_json_inputs.jl:128 | Loading data from NaturalGas_OCGT_5r_2024base.json
2026-04-15 18:12:49 | DEBUG | 1 | MacroEnergy | load_inputs.jl:2 | Loading JSON data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\assets\NaturalGas_OCGT_5r_2024base.json
2026-04-15 18:12:49 | DEBUG | 1 | MacroEnergy | load_json_inputs.jl:19 | Loading JSON data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\assets\NaturalGas_OCGT_5r_2024base.json
2026-04-15 18:12:49 | DEBUG | 1 | MacroEnergy | csv.jl:6 | Loading CSV data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\system/availability_PIER8760_5period.csv
2026-04-15 18:12:50 | DEBUG | 1 | MacroEnergy | csv.jl:9 | Loading columns [:EG_OCGT_ALL_ALL] from CSV data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\system/availability_PIER8760_5period.csv
2026-04-15 18:12:50 | DEBUG | 1 | MacroEnergy | load_json_inputs.jl:128 | Loading data from Nuclear_PHWR_5r_2024base_36upDown.json
2026-04-15 18:12:50 | DEBUG | 1 | MacroEnergy | load_inputs.jl:2 | Loading JSON data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\assets\Nuclear_PHWR_5r_2024base_36upDown.json
2026-04-15 18:12:50 | DEBUG | 1 | MacroEnergy | load_json_inputs.jl:19 | Loading JSON data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\assets\Nuclear_PHWR_5r_2024base_36upDown.json
2026-04-15 18:12:50 | DEBUG | 1 | MacroEnergy | csv.jl:6 | Loading CSV data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\system/availability_PIER8760_5period.csv
2026-04-15 18:12:51 | DEBUG | 1 | MacroEnergy | csv.jl:9 | Loading columns [:EG_PHWR_ALL_ALL] from CSV data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\system/availability_PIER8760_5period.csv
2026-04-15 18:12:51 | DEBUG | 1 | MacroEnergy | load_json_inputs.jl:128 | Loading data from Nuclear_SMR_5r_2024base_36hrupDown.json
2026-04-15 18:12:51 | DEBUG | 1 | MacroEnergy | load_inputs.jl:2 | Loading JSON data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\assets\Nuclear_SMR_5r_2024base_36hrupDown.json
2026-04-15 18:12:51 | DEBUG | 1 | MacroEnergy | load_json_inputs.jl:19 | Loading JSON data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\assets\Nuclear_SMR_5r_2024base_36hrupDown.json
2026-04-15 18:12:51 | DEBUG | 1 | MacroEnergy | csv.jl:6 | Loading CSV data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\system/availability_PIER8760_5period.csv
2026-04-15 18:12:51 | DEBUG | 1 | MacroEnergy | csv.jl:9 | Loading columns [:EG_SMR_ALL_ALL] from CSV data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\system/availability_PIER8760_5period.csv
2026-04-15 18:12:51 | DEBUG | 1 | MacroEnergy | load_json_inputs.jl:128 | Loading data from Smallhydro_5r_2024.json
2026-04-15 18:12:51 | DEBUG | 1 | MacroEnergy | load_inputs.jl:2 | Loading JSON data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\assets\Smallhydro_5r_2024.json
2026-04-15 18:12:51 | DEBUG | 1 | MacroEnergy | load_json_inputs.jl:19 | Loading JSON data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\assets\Smallhydro_5r_2024.json
2026-04-15 18:12:51 | DEBUG | 1 | MacroEnergy | csv.jl:6 | Loading CSV data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\system/availability_PIER8760_5period.csv
2026-04-15 18:12:52 | DEBUG | 1 | MacroEnergy | csv.jl:9 | Loading columns [:EG_SH_ALL_ALL] from CSV data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\system/availability_PIER8760_5period.csv
2026-04-15 18:12:52 | DEBUG | 1 | MacroEnergy | load_json_inputs.jl:128 | Loading data from electricityStorage_batteryPumpedHydro_5r_unlimCapped.json
2026-04-15 18:12:52 | DEBUG | 1 | MacroEnergy | load_inputs.jl:2 | Loading JSON data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\assets\electricityStorage_batteryPumpedHydro_5r_unlimCapped.json
2026-04-15 18:12:52 | DEBUG | 1 | MacroEnergy | load_json_inputs.jl:19 | Loading JSON data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\assets\electricityStorage_batteryPumpedHydro_5r_unlimCapped.json
2026-04-15 18:12:52 | DEBUG | 1 | MacroEnergy | load_json_inputs.jl:128 | Loading data from transmission.json
2026-04-15 18:12:52 | DEBUG | 1 | MacroEnergy | load_inputs.jl:2 | Loading JSON data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\assets\transmission.json
2026-04-15 18:12:52 | DEBUG | 1 | MacroEnergy | load_json_inputs.jl:19 | Loading JSON data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\assets\transmission.json
2026-04-15 18:12:52 | DEBUG | 1 | MacroEnergy | load_json_inputs.jl:128 | Loading data from vre_solar_Groundmounted_5r_2024base.json
2026-04-15 18:12:52 | DEBUG | 1 | MacroEnergy | load_inputs.jl:2 | Loading JSON data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\assets\vre_solar_Groundmounted_5r_2024base.json
2026-04-15 18:12:52 | DEBUG | 1 | MacroEnergy | load_json_inputs.jl:19 | Loading JSON data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\assets\vre_solar_Groundmounted_5r_2024base.json
2026-04-15 18:12:52 | DEBUG | 1 | MacroEnergy | csv.jl:6 | Loading CSV data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\system/availability_PIER8760_5period.csv
2026-04-15 18:12:53 | DEBUG | 1 | MacroEnergy | csv.jl:9 | Loading columns [:EG_SOLARGM_2024_NR] from CSV data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\system/availability_PIER8760_5period.csv
2026-04-15 18:12:53 | DEBUG | 1 | MacroEnergy | csv.jl:6 | Loading CSV data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\system/availability_PIER8760_5period.csv
2026-04-15 18:12:53 | DEBUG | 1 | MacroEnergy | csv.jl:9 | Loading columns [:EG_SOLARGM_2024_NER] from CSV data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\system/availability_PIER8760_5period.csv
2026-04-15 18:12:53 | DEBUG | 1 | MacroEnergy | csv.jl:6 | Loading CSV data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\system/availability_PIER8760_5period.csv
2026-04-15 18:12:54 | DEBUG | 1 | MacroEnergy | csv.jl:9 | Loading columns [:EG_SOLARGM_2024_ER] from CSV data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\system/availability_PIER8760_5period.csv
2026-04-15 18:12:54 | DEBUG | 1 | MacroEnergy | csv.jl:6 | Loading CSV data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\system/availability_PIER8760_5period.csv
2026-04-15 18:12:55 | DEBUG | 1 | MacroEnergy | csv.jl:9 | Loading columns [:EG_SOLARGM_2024_WR] from CSV data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\system/availability_PIER8760_5period.csv
2026-04-15 18:12:55 | DEBUG | 1 | MacroEnergy | csv.jl:6 | Loading CSV data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\system/availability_PIER8760_5period.csv
2026-04-15 18:12:55 | DEBUG | 1 | MacroEnergy | csv.jl:9 | Loading columns [:EG_SOLARGM_2024_SR] from CSV data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\system/availability_PIER8760_5period.csv
2026-04-15 18:12:55 | DEBUG | 1 | MacroEnergy | load_json_inputs.jl:128 | Loading data from vre_solar_Rooftop_5r_2024base.json
2026-04-15 18:12:55 | DEBUG | 1 | MacroEnergy | load_inputs.jl:2 | Loading JSON data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\assets\vre_solar_Rooftop_5r_2024base.json
2026-04-15 18:12:55 | DEBUG | 1 | MacroEnergy | load_json_inputs.jl:19 | Loading JSON data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\assets\vre_solar_Rooftop_5r_2024base.json
2026-04-15 18:12:55 | DEBUG | 1 | MacroEnergy | csv.jl:6 | Loading CSV data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\system/availability_PIER8760_5period.csv
2026-04-15 18:12:56 | DEBUG | 1 | MacroEnergy | csv.jl:9 | Loading columns [:EG_SOLARRF_2024_NR] from CSV data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\system/availability_PIER8760_5period.csv
2026-04-15 18:12:56 | DEBUG | 1 | MacroEnergy | csv.jl:6 | Loading CSV data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\system/availability_PIER8760_5period.csv
